"Николаевский судостроительный завод ""Океан""";(0512) 58-77-40  ;;;chancellery@shipyard-okean.com;
Никопольский завод ферросплавов;(0566) 654 5 27 Роман, керівник юр.відділу;;;okfs@i.ua;
Нібулон;58-04-11;  вул. Велика Морська, 63, 54030, Миколаїв,;;  mail1@nibulon.com.ua;
НОВОЛОГ;048 729-45-11, 048 729-33-89;;;novolog-office@port.odessa.ua;
Новотех-Терминал;(048)729-34-01, 729-34-50;;;novotech@port.odessa.ua;
НПК-Галичина; (03244) 3-71-38;вул. Бориславська,82, м.Дрогобич, Львівська обл.;;info@npk.lv.ukrtel.net;
Одесский припортовый завод;(048) 758-60-09, 758-60-58;;;office@opz.odessa.ua;
Одеська залізниця; 0(48) 727-44-11, 0(48) 727-10-07;;;cpress_od@ukr.net;
Одеський припортовий завод;048) 758-60-09;;;office@opz.odessa.ua;
Октава капітал;585-60-00;Бизнес-центр Инком ул. Смоленская, 31-33, Киев;;office@octava.ua;
ОКТЯБРЬСК;0512 675441, 0512 675442;м.Миколаїв, вул.Айвазовського, 29;;info@okt-port.com;
ОМЕГА-Автопоставка;(057)-713-69-00, (067)-623-69-00;" ул. Промышленная, 1, пос. Васищево,
Харьковский р-н";;office@omega-auto.biz;
Ондулін;490-60-10;;;info@onduline.com.ua;
ОРДЖОНІКІДЗЕВСЬКИЙ ГОК; (0-5667) 5-32-11;Днепропетровская обл., г. Орджоникидзе, ул. Калинина, 11;;ordgok@gmail.com;
Орлан Транс Груп;4941095;;;office@orlantrans.com;
Охранный холдинг;050 479-98-99,  067 544-42-00 ;г. Запорожье, ул. Добролюбова, д.19;;office@ohholding.com.ua;
Первая логистическая компания;4 813 344;;;1lk.office@1lk.com.ua;
ПлазмаТек;(0432) 55-49-71;;;;
Побужский ферроникелевый комбинат;(05252) 5-13-89;г. Киев, ул. Панаса Мирного 16/13, кв. 3;;ferronickel@ymail.com, press_room@ukr.net ;
Полтаваспецмонтаж;(0532) 67-80-80;;; info@psm.poltava.ua, reception@psm.poltava.ua;
Полтавская Буровая Компания;53267-81-41, Наталя секретар;;;pdc@pdc.net.ua;
Полтавская Газонефтяная Компания;(0532) 501317;"ул. Фрунзе 153, 5 этаж
36002, Полтава,";;info@ppc.net.ua;
ПОЛТАВСКИЙ ГОК; (05348) 74368;;; pgok@ferrexpo.com;
Полтавський завод газорозрядних ламп;(0532) 51-83-08;;;;
ПрайсуотерхаусКуперс Лигал;3 540 404;;;pwc.ukraine@ua.pwc.com;
Преобразователь;(061) 228 70 80;;;tdzp@zpr.com.ua;
ПрикарпатЗападтранс;0362 63-69-80;Ровно, ул. Котляревского, 18;;prumpp@prumpp.rovno.ua;
ПРИРОДНІ РЕСУРСИ;4904820;;;;
ПроАгро;248-02-67;;;info@proagro.com.ua;
Провіта;0 67 547 0616;;;info@provita.ua;
Прогрестехбуд;(032) 298–85–25;;;office@bkptb.com.ua;
Проктер енд Гембл Україна;4 900 900;м.Київ, вул.Ігоревська/Набережно-Хрещатицька, 13/5а.;;kievreception.im@pg.com;
Промарматура;(0562) 35-66-01;;;mazur@promarmatura.ua;
Прометей;(0512) 58 06 06;Николаев,  ул. Пушкинская, 8;;prometeyagro@mail.ru, pr@prometey.org.ua;
Пропаганда;(063) 165 11 83, Горбатюк Людмила ;Юрист;;d@propaganda.in.ua;
Рабен украина;496 11 20;;;kiev@raben-group.com;
Регіональна газова компанія;364 25 71;Киев, ул. Мечникова 2А, бизнес-центр «Парус»;; reception@rgc.ua;
Ренесанс ;496 88 ;"
";;"www.rencredit.com.ua
";
РЕСУРС-Україна; (063) 481-56-93   Цікало Микола ;Юрисконсульт;;nikalja@yandex.ua;
Ритейл Групп;4 907 120;;;dragon@dragon-capital.com;
Роза ветров; 499 97 77; г.Киев, ул. Щекавицкая 30/39. офис 12-13;;press@windrose.kiev.ua;
РОСС КИЕВ;501-11-39;;;;
Рошен;"531-46-64, 531-46-69
"; г. Киев, ул. Науки, 1;;roshen@roshen.com.ua;
САН ИнБев Украина;201-40-00;г. Киев, ул. Физкультуры, 30-В;; office@ab-inbev.com;
Саноил;(057) 758-81-97;;; info@sanoil.org;
Санофі Україна;354 20 00 ;48-50А, вул. Жилянська,;;info.ukraine@sanafi.com;
СВІТ ТЕХНОЛОГІЙ;Юрисконсульт, Олександр Гарбар, 2055606;0 63 5759623;;law@techsvit.eu;заповнили
СВС-Дніпро;(044) 545-71-24;;;;
Связьтехсервис;(056)725-05-69;;;sts@sts-dnepr.com.ua;
СЕБ Корпоративний Банк ;Юрій Васага;;;Yurii.Vasaha@ua.sebgroup.com;відмовився
Сидрейл;566-09-10;"Киев,
ул. Бориспольская, 26-Б";;info@seedrail.com.ua;
Сингента;49-417-71;"м. Київ,
вул. Козацька, 120/4";;;
СИНЭВО;20 500 20 Директор по маркетингу Богдан;;;b.kidon@synevo.com.ua;
СІЕС ІНТЕГРА;364-30-38;;;kiev@csltd.com.ua;
Славянские обои;04657 3-41-07;;;zbut@slav-oboi.com.ua;
Сокме; (03257) 7-43-65;;;cokme@cokme.com.ua;
Софит;594-67-06;;;info@sofit.com.ua;
Спецвагон Транслизинг; 392-86-35;"Киев,
ул. Димитрова, 5, корпус 2";;info@svtl.com.ua;
Спеціальна енергетична компанія;;;;;
Спецмехсервіс;(0532) 53 73 51;Полтава, вул. Клінкерна, 1;;info@cmc.pl.ua;
Стар Транс ;097-777-82-65;;;info@startranseuro.com.ua;
Стивідорна Інвестиційна Компанія;"(0512) 50-79-20 директор Олександр
Олександрович";;;"a_solovyev@meta.ua

";
Страхові Традиції;284 07 55;;;info@fgst.com.ua;
Таврида Электрик Украина;338-69-25, 455-57-51;;;telu@tavrida.com;
ТБ Дніпро;(0562) 34-32-22;;;news@9-channel.com;
ТЕРРА ФУД;594 70 39 ;вул. Зеленогірська, 8, м. Київ;;pr@terrafood.com.ua ;
ТНК-Индастриз Украина;490-33-81;;;newsua@rosneft.ru;
Трансгарант-Украина;499-0-466, 499-0-467; Киев, ул. Димитрова, 5, корп.2 ;;office@transgarant.com.ua;
Трансліт;(04637)7-30-77,066-117-38-01, дмитро ігорович, юрист;;;;
ТРАНС-ЛОГИСТИК; 579-26-43,  (067) 400-74-68;;;reception@trl.net.ua;
ТРЕЙН УКРЕЙН;48 734-00-20;;;office@train-ukraine.com.ua;
Турбоатом;(0 57)349-24-50,  349-23-14;;;office@turboatom.com.ua;
Турбогаз; 0 57) 731-45-54;"г. Харьков,
пер. Дубового, 6/4";;turbogaz@ukr.net;
УВК Україна (логістичні послуги);499 48 99 ;;;info@uvk.ua;
УГМК; 206-60-26;г. Киев, ул. Баренбойма, 1 ;;ugmk@ugmk.kiev.ua;
УКПОСТАЧ;(06565) 91513;;;;
УкрАВТО;207-70-77;;;info@ukravto.ua;
Украинские аграрные инвестиции;594 94 40;" БЦ ""Парус""

ул. Мечникова, 2,14 этаж";;info@ukragrinvest.com.ua;
Украинские вертолеты;455 96 87; г. Киев, ул. Кирилловская, 19-21;;info@ukrcopter.com;
Украинский медиа-холдинг;205-43-00;"Киев, Украина
ул.Фрунзе, 104";;info@umh.com.ua;
Украинский Ритейл;0 800 509 777  ;"улица Маршала Малиновского 114,
49022 г. Днепропетровск,";;office@ur.ua;
Український процесінговий центр;247-49-72;;;contact@upc.ua ;
Укрбурсервис; (0532) 51-93-60 ;" 
ул.Заводская, 12б г.Полтава ";; ubs@dpubs.com.ua;
Укргазвидобування; 272-31-15;;;office@ugv.com.ua;
Укргеофізика (Богдан, юрист);Лило Богдан, юрист, 097-647-60-45;м.Львів;;bogdan_lylo@ukr.net;заповнив
УКРГИДРОПРОЕКТ;(057) 717-57-05;Пр. Науки, 9, г. Харьков;;water@uhp.kharkov.ua;
УКРНЕФТЕБУРЕНИЕ;2544953;;;;
УКРНЕФТЕХИМПРОЕКТ;463-70-39;ул. Кудрявский спуск, 5-Б ;;unxp@unxp.relc.com ;
